second,is_mode_a,is_mode_b,is_mode_c,mean velocity (m/s),mean wheel speed (rev/min),net rolling energy (J),net aero energy (J),braked energy (J),total energy (J),gross rolling energy (J),gross aero energy (J),inertia energy (J),cumulative rr (J),cumulative aero (J),cumulative braking (J)
418,0,1,0,32.0975361950724,817.357737835234,746.079158727015,2384.63762256764,0,3130.71678129466,4028.78003108966,12876.8915775341,-13774.9548273291,1281356.85555662,3226876.76377371,-1292448.14294353
419,0,1,0,31.8293116586233,810.527450332432,698.047561004546,2193.98470654586,0,2892.03226755041,3995.11334559309,12556.762706161,-13659.8437842036,1285351.96890221,3239433.52647987,-1292448.14294353
420,0,1,0,31.5834391668783,804.266353454864,1205.71514928624,3731.27831979322,0,4936.99346907946,3964.25221722124,12268.0123585295,-11295.2711066712,1289316.22111943,3251701.5388384,-1292448.14294353
421,1,0,0,31.494030988062,801.98959095393,3953.02998872238,12164.1200770097,0,18369.8092291148,3953.02998872238,12164.1200770097,2252.6591633828,1293269.25110815,3263865.65891541,-1292448.14294353
422,1,0,0,31.6057912115824,804.835544080098,3967.05777434595,12294.0775318879,0,25303.7472495223,3967.05777434595,12294.0775318879,9042.61194328843,1297236.3088825,3276159.7364473,-1292448.14294353
423,0,1,0,31.5387350774702,803.127972204397,93.892734046077,289.74410998574,0,383.636844031817,3958.64110297181,12215.9925875697,-15790.9968465097,1301194.94998547,3288375.72903487,-1292448.14294353
424,1,0,0,31.5610871221742,803.697162829631,3961.44666009652,12241.9840524539,0,34263.0743673215,3961.44666009652,12241.9840524539,18059.6436547711,1305156.39664557,3300617.71308732,-1292448.14294353
425,0,0,1,31.5610871221742,803.697162829631,0,0,-1856.21294222063,0,3961.44666009652,12241.9840524539,-18059.6436547711,1309117.84330566,3312859.69713978,-1294304.35588575
426,1,0,0,31.4046228092456,799.712828452997,3941.80776022352,12060.8160021606,0,18248.8878678155,3941.80776022352,12060.8160021606,2246.2641054314,1313059.65106589,3324920.51314194,-1294304.35588575
427,0,0,1,31.1587503175006,793.451731575429,0,0,-11053.4366167643,0,3910.94663185166,11779.7491041649,-26744.1323527809,1316970.59769774,3336700.2622461,-1305357.79250252
428,0,1,0,30.8234696469393,784.913872196927,2193.35956098121,6464.976756588,0,8658.33631756921,3868.86327498095,11403.56172883,-6614.08868624178,1320839.46097272,3348103.82397493,-1305357.79250252
429,0,1,0,30.6223012446025,779.791156569826,481.817856955706,1401.69211173728,0,1883.50996869299,3843.61326085852,11181.7407979744,-13141.8440901399,1324683.07423358,3359285.56477291,-1305357.79250252
430,1,0,0,30.510541021082,776.945203443659,3829.58547523495,11059.7592523031,0,17071.6582534554,3829.58547523495,11059.7592523031,2182.31352591734,1328512.65970881,3370345.32402521,-1305357.79250252
431,0,1,0,30.510541021082,776.945203443659,3268.28769254578,9438.74350907497,0,12707.0312016208,3829.58547523495,11059.7592523031,-2182.31352591734,1332342.24518405,3381405.08327751,-1305357.79250252
432,0,1,0,30.3764287528575,773.530059692258,1000.27408393755,2863.42975549609,0,3863.70383943364,3812.75213248667,10914.5564018983,-10863.6046949513,1336154.99731654,3392319.63967941,-1305357.79250252
433,0,1,0,30.1752603505207,768.407344065157,1530.33719880059,4322.98048837552,0,5853.31768717611,3787.50211836424,10699.1438032103,-8633.32823439843,1339942.4994349,3403018.78348262,-1305357.79250252
434,1,0,0,30.1305562611125,767.26896281469,3781.89100411481,10651.6624652225,0,18743.8225285852,3781.89100411481,10651.6624652225,4310.26905924789,1343724.39043901,3413670.44594784,-1305357.79250252
435,1,0,0,30.1976123952248,768.97653469039,3790.30767548895,10722.9372944365,0,16673.1757930128,3790.30767548895,10722.9372944365,2159.93082308742,1347514.6981145,3424393.38324228,-1305357.79250252
436,0,1,0,30.2199644399289,769.545725315624,3793.11323261367,10746.7660352728,0,14539.8792678865,3793.11323261367,10746.7660352728,0,1351307.81134712,3435140.14927755,-1305357.79250252
437,0,1,0,30.1305562611125,767.26896281469,1523.13084292325,4289.88450791848,0,5813.01535084173,3781.89100411481,10651.6624652225,-8620.53811849561,1355089.70235123,3445791.81174278,-1305357.79250252
438,0,1,0,29.996443992888,763.853819063289,2633.28581293894,7350.74969142235,0,9984.03550436129,3765.05766136652,10510.0617283883,-4291.0838853935,1358854.7600126,3456301.87347116,-1305357.79250252
439,0,0,1,29.7952755905512,758.731103436188,0,0,-878.241428833579,0,3739.8076472441,10300.0223600653,-14918.071436143,1362594.56765984,3466601.89583123,-1306236.03393135
440,1,0,0,29.7058674117348,756.454340935255,3728.58541874524,10207.5769393761,0,20310.4363711855,3728.58541874524,10207.5769393761,6374.27401306421,1366323.15307859,3476809.47277061,-1306236.03393135
441,0,1,0,29.6835153670307,755.885150310021,1451.08970321202,3966.60553736675,0,5417.69524057878,3725.77986162052,10184.5523384257,-8492.63695946749,1370048.93294021,3486994.02510903,-1306236.03393135
442,1,0,0,29.6388112776226,754.746769059554,3720.1687473711,10138.607058951,0,18098.6992281043,3720.1687473711,10138.607058951,4239.92342178225,1373769.10168758,3497132.63216798,-1306236.03393135
443,0,1,0,29.5717551435103,753.039197183854,863.420857758213,2342.45268553199,0,3205.8735432902,3711.75207599695,10069.9485544311,-10575.8270871379,1377480.85376358,3507202.58072241,-1306236.03393135
444,1,0,0,29.504699009398,751.331625308153,3703.33540462281,10001.6007213461,0,17925.6743738968,3703.33540462281,10001.6007213461,4220.73824792787,1381184.1891682,3517204.18144376,-1306236.03393135
445,0,1,0,29.4152908305817,749.05486280722,265.777971036272,713.44313531803,0,979.221106354302,3692.11317612395,9910.95232630619,-12623.8443960758,1384876.30234432,3527115.13377007,-1306236.03393135
446,0,0,1,28.5435610871222,726.856428423115,0,0,-54735.1715216943,0,3582.6964482601,9055.66631259805,-67373.5342825524,1388458.99879258,3536170.80008266,-1360971.20545305
447,0,1,0,27.8059436118872,708.073137790411,3490.11306314453,8371.60753729744,0,11861.720600442,3490.11306314453,8371.60753729744,0,1391949.11185573,3544542.40761996,-1360971.20545305
448,0,0,1,27.6271272542545,703.519612788544,0,0,-4129.7808019198,0,3467.66860614681,8211.13384780946,-15808.5832558761,1395416.78046187,3552753.54146777,-1365100.98625497
449,0,1,0,27.3812547625095,697.258515910976,1670.25787521251,3884.93993762979,0,5555.1978128423,3436.80747777496,7993.84982792187,-5875.45949285452,1398853.58793965,3560747.39129569,-1365100.98625497
450,1,0,0,27.3812547625095,697.258515910976,3436.80747777496,7993.84982792187,0,17306.1167985513,3436.80747777496,7993.84982792187,5875.45949285452,1402290.39541742,3568741.24112362,-1365100.98625497
451,0,1,0,27.3812547625095,697.258515910976,1670.25787521251,3884.93993762979,0,5555.1978128423,3436.80747777496,7993.84982792187,-5875.45949285452,1405727.2028952,3576735.09095154,-1365100.98625497
452,1,0,0,27.3812547625095,697.258515910976,3436.80747777496,7993.84982792187,0,17306.1167985513,3436.80747777496,7993.84982792187,5875.45949285452,1409164.01037297,3584728.94077946,-1365100.98625497
453,0,1,0,27.4483108966218,698.966087786676,3445.2241491491,8052.72409996796,0,11497.9482491171,3445.2241491491,8052.72409996796,0,1412609.23452212,3592781.66487943,-1365100.98625497
454,1,0,0,27.5377190754382,701.24285028761,3456.44637764796,8131.67181611075,0,19466.829589891,3456.44637764796,8131.67181611075,7878.71139613233,1416065.68089977,3600913.33669554,-1365100.98625497
455,0,1,0,27.6271272542545,703.519612788544,3467.66860614681,8211.13384780946,0,11678.8024539563,3467.66860614681,8211.13384780946,0,1419533.34950592,3609124.47054335,-1365100.98625497
456,0,1,0,27.6271272542545,703.519612788544,3467.66860614681,8211.13384780946,0,11678.8024539563,3467.66860614681,8211.13384780946,0,1423001.01811206,3617335.60439116,-1365100.98625497
457,0,1,0,27.6271272542545,703.519612788544,3467.66860614681,8211.13384780946,0,11678.8024539563,3467.66860614681,8211.13384780946,0,1426468.68671821,3625546.73823897,-1365100.98625497
