second,is_mode_a,is_mode_b,is_mode_c,mean velocity (m/s),mean wheel speed (rev/min),net rolling energy (J),net aero energy (J),braked energy (J),total energy (J),gross rolling energy (J),gross aero energy (J),inertia energy (J),cumulative rr (J),cumulative aero (J),cumulative braking (J)
771,1,0,0,6.41503683007366,163.357709442,805.19489479299,102.800069782429,0,14214.5117969639,805.19489479299,102.800069782429,13306.5168323885,920267.625820268,802801.572098166,-1607620.38344452
772,1,0,0,7.44323088646177,189.540478202739,934.250522529845,160.575920315263,0,10145.4322085728,934.250522529845,160.575920315263,9050.60576572767,921201.876342798,802962.148018481,-1607620.38344452
773,1,0,0,8.0243840487681,204.339434458808,1007.19500777242,201.201430898971,0,6374.00449891976,1007.19500777242,201.201430898971,5165.60806024837,922209.071350571,803163.34944938,-1607620.38344452
774,1,0,0,8.47142494284989,215.723246963477,1063.3061502667,236.736569018543,0,7965.29186913839,1063.3061502667,236.736569018543,6665.24914985314,923272.377500837,803400.086018399,-1607620.38344452
775,1,0,0,8.98552197104394,228.814631343847,1127.83396413513,282.504830743259,0,9122.77868427429,1127.83396413513,282.504830743259,7712.4398893959,924400.211464972,803682.590849142,-1607620.38344452
776,1,0,0,9.54432308864618,243.044396974683,1197.97289225298,338.556646585009,0,10411.271210902,1197.97289225298,338.556646585009,8874.741672064,925598.184357225,804021.147495727,-1607620.38344452
777,1,0,0,10.1031242062484,257.274162605519,1268.11182037084,401.571630242596,0,10341.3820327203,1268.11182037084,401.571630242596,8671.69858210684,926866.296177596,804422.71912597,-1607620.38344452
778,1,0,0,10.7736855473711,274.349881362523,1352.27853411227,486.955005045836,0,15710.1142357582,1352.27853411227,486.955005045836,13870.8806966001,928218.574711709,804909.674131016,-1607620.38344452
779,1,0,0,11.511303022606,293.133171995227,1444.86191922784,593.976696166772,0,14389.2942840479,1444.86191922784,593.976696166772,12350.4556686533,929663.436630936,805503.650827182,-1607620.38344452
780,1,0,0,12.0701041402083,307.362937626063,1515.00084734569,684.745203405459,0,10833.0742851496,1515.00084734569,684.745203405459,8633.32823439843,931178.437478282,806188.396030588,-1607620.38344452
